Forage: 18, 17, 20, 20, 16, 16, 14, 8, 19, 13, 12, 14
Forage: 15, 14, 23, 18, 18, 17, 15, 16, 15, 15, 11, 11
Forage: 16, 19, 21, 15, 16, 17, 14, 17, 18, 9, 15, 16
Forage: 16, 15, 18, 18, 20, 17, 16, 17, 12, 9, 14, 13
Forage: 15, 18, 19, 17, 17, 16, 16, 14, 11, 16, 14, 12
Forage: 18, 21, 16, 19, 15, 12, 17, 15, 15, 11, 14, 9
Forage: 15, 23, 15, 18, 13, 15, 17, 17, 14, 12, 12, 13
Forage: 15, 19, 16, 18, 12, 20, 15, 11, 17, 10, 13, 10
Forage: 19, 19, 17, 16, 17, 15, 14, 13, 16, 11, 13, 14
Forage: 16, 18, 17, 19, 15, 17, 16, 16, 15, 15, 13, 14
Forage: 16, 22, 19, 15, 16, 17, 14, 14, 16, 13, 11, 14
Forage: 17, 22, 15, 19, 13, 18, 19, 15, 14, 13, 12, 9
Forage: 20, 19, 20, 16, 15, 18, 16, 15, 14, 12, 11, 12
Forage: 15, 22, 19, 19, 17, 16, 8, 16, 15, 12, 15, 12
Forage: 16, 20, 18, 16, 14, 15, 15, 14, 15, 13, 13, 12
Forage: 14, 24, 17, 17, 15, 17, 14, 15, 15, 14, 12, 12
Forage: 16, 19, 18, 19, 18, 13, 18, 12, 15, 16, 13, 13
Forage: 17, 20, 21, 19, 15, 18, 14, 14, 12, 12, 14, 9
Forage: 13, 23, 19, 18, 17, 19, 14, 17, 11, 11, 16, 9
Forage: 17, 18, 20, 14, 18, 16, 15, 17, 11, 13, 12, 14
Forage: 14, 17, 19, 19, 18, 13, 19, 14, 18, 15, 11, 12
Forage: 15, 19, 17, 16, 16, 12, 18, 16, 16, 9, 12, 10
Forage: 15, 13, 22, 18, 15, 17, 13, 15, 18, 15, 11, 15
Forage: 15, 18, 18, 17, 18, 12, 15, 17, 12, 16, 13, 12
Forage: 19, 21, 19, 18, 15, 14, 19, 15, 16, 8, 14, 10
Forage: 16, 18, 17, 14, 18, 18, 16, 14, 12, 17, 10, 11
Forage: 17, 17, 20, 18, 20, 12, 16, 13, 13, 10, 16, 11
Forage: 19, 22, 15, 19, 13, 20, 16, 14, 14, 13, 12, 12
Forage: 19, 19, 18, 16, 17, 16, 16, 18, 14, 12, 13, 12
Forage: 16, 19, 15, 16, 20, 15, 13, 14, 11, 14, 15, 14
Forage: 14, 20, 17, 19, 15, 18, 17, 17, 13, 12, 12, 10
Forage: 16, 17, 16, 22, 14, 16, 15, 14, 16, 15, 14, 10
Forage: 17, 16, 20, 13, 16, 18, 16, 11, 14, 11, 17, 13
Forage: 19, 21, 17, 16, 14, 15, 17, 13, 14, 14, 12, 4
Forage: 17, 21, 14, 13, 16, 17, 16, 16, 16, 14, 13, 14
Forage: 17, 22, 16, 19, 17, 15, 18, 14, 16, 12, 14, 14
Forage: 21, 21, 19, 20, 20, 16, 13, 13, 13, 14, 9, 9
Forage: 16, 21, 18, 17, 16, 16, 15, 15, 15, 11, 14, 9
Forage: 15, 18, 20, 17, 16, 18, 12, 13, 15, 14, 13, 12
