tags_collected, collisions_in_seconds, time_in_minutes, random_seed
84, 399.359, 12, 244096
104, 355.047, 12, 358052
91, 392.688, 12, 493368
90, 322.109, 12, 544122
100, 344.594, 12, 606292
100, 338.953, 12, 683376
115, 399.172, 12, 762211
111, 348.469, 12, 797057
108, 357.141, 12, 791575
104, 364.859, 12, 917755
103, 348.609, 12, 40741
97, 387.578, 12, 987296
101, 309.297, 12, 987899
107, 304.516, 12, 862560
91, 295.438, 12, 922018
92, 363.922, 12, 905082
94, 408.75, 12, 840469
99, 307.25, 12, 911146
99, 336.562, 12, 900368
109, 390.641, 12, 69748
101, 342.594, 12, 112866
89, 397.062, 12, 110601
88, 303.984, 12, 154759
109, 343.641, 12, 212337
104, 360.281, 12, 232768
126, 375.297, 12, 338030
98, 333.547, 12, 365373
95, 351.219, 12, 389412
98, 331.297, 12, 884765
99, 313.609, 12, 435983
100, 325.656, 12, 88300
96, 967.484, 11.9234, 88300
80, 1776.73, 12, 88300
78, 343.375, 12, 474422
81, 283.109, 12, 952151
83, 306.094, 12, 912587
99, 296.953, 12, 968811
101, 320.328, 12, 965317
102, 381.094, 12, 984401
110, 325.438, 12, 924743
107, 311.203, 12, 837599
94, 294.688, 12, 717224
102, 284.812, 12, 593197
95, 325.219, 12, 591504
95, 348.875, 12, 572497
86, 314.797, 12, 530069
98, 340.734, 12, 611819
93, 286.703, 12, 552990
97, 309.828, 12, 535508
95, 302.156, 12, 463088
82, 301.469, 12, 393954
107, 364.016, 12, 304336
89, 390.156, 12, 280549
84, 347.438, 12, 269993
105, 341.297, 12, 194586
98, 290.328, 12, 225387
90, 372.578, 12, 221756
95, 304.562, 12, 222677
95, 343.406, 12, 190076
102, 332.844, 12, 249365
105, 306.406, 12, 127491
94, 346.5, 12, 944650
92, 375.5, 12, 920307
96, 323.922, 12, 839304
90, 336.781, 12, 792636
97, 299.875, 12, 727408
99, 372.391, 12, 632000
96, 355.625, 12, 505305
104, 276.609, 12, 450831
85, 280.781, 12, 385722
101, 307.969, 12, 415379
111, 445.797, 12, 373564
96, 298.828, 12, 345262
95, 378.812, 12, 400639
105, 339.062, 12, 479710
87, 286.922, 12, 444347
105, 351.109, 12, 285964
108, 341.016, 12, 307094
90, 359.766, 12, 285150
100, 303.453, 12, 312691
95, 337.25, 12, 229751
88, 351.344, 12, 179216
101, 293.172, 12, 140546
102, 318.906, 12, 51018
