tags_collected, collisions_in_seconds, time_in_minutes, random_seed
183, 737.75, 12, 754707
170, 824.719, 12, 783445
175, 701.031, 12, 899927
168, 672.031, 12, 21840
184, 743.797, 12, 119155
188, 703.891, 12, 306141
173, 735.797, 12, 299492
183, 753.719, 12, 361793
177, 785.953, 12, 405392
179, 698.469, 12, 563148
182, 681.062, 12, 593262
181, 632.641, 12, 649068
183, 828.156, 12, 780571
180, 708.766, 12, 982990
183, 699.141, 12, 198322
180, 728.859, 12, 307396
172, 810.031, 12, 433656
185, 838.094, 12, 515460
183, 707.781, 12, 659741
181, 800.156, 12, 682882
183, 796.141, 12, 798070
183, 689.5, 12, 864289
181, 675.375, 12, 912601
179, 809.406, 12, 84643
172, 617.156, 12, 954641
186, 624.312, 12, 113625
188, 576.734, 12, 107628
188, 703.953, 12, 118899
181, 717.828, 12, 132982
191, 672.016, 12, 164635
179, 732.266, 12, 290312
176, 812.922, 12, 321223
185, 713.719, 12, 389992
189, 744.125, 12, 351450
190, 620.406, 12, 370987
191, 626.828, 12, 387419
187, 651.469, 12, 348801
184, 1051.61, 12, 421977
178, 673.438, 12, 529028
191, 718.812, 12, 553856
184, 689.656, 12, 555990
179, 812.672, 12, 642557
188, 721.391, 12, 693916
184, 771.469, 12, 764637
184, 659.984, 12, 822910
161, 1025.17, 12, 746231
184, 736.297, 12, 905605
190, 722.844, 12, 933179
180, 744.656, 12, 946831
178, 961.625, 12, 944442
195, 650.547, 12, 49711
190, 663.828, 12, 108605
183, 734.219, 12, 86462
182, 645.484, 12, 123253
186, 735.641, 12, 121541
191, 643.75, 12, 127905
188, 648.25, 12, 122239
179, 691.078, 12, 74105
181, 650.219, 12, 268862
188, 692.812, 12, 443426
190, 794.172, 12, 588552
174, 973.156, 12, 545955
187, 830.219, 12, 625449
194, 598.703, 12, 694283
187, 692.828, 12, 746719
179, 763.078, 12, 753516
185, 674.125, 12, 742350
178, 685.406, 12, 752587
164, 1006.42, 12, 731132
186, 771.656, 12, 815223
184, 828.047, 12, 795296
188, 635.016, 12, 803021
176, 738.688, 12, 791627
176, 770.922, 12, 871015
