tags_collected, collisions_in_seconds, time_in_minutes, random_seed
183, 879.734, 12, 876576
183, 771.844, 12, 975668
184, 769.797, 12, 3338
188, 666.438, 12, 4367
186, 771.734, 12, 19119
186, 815.047, 12, 103202
185, 773.531, 12, 125327
177, 753.531, 12, 125091
189, 714.328, 12, 194495
182, 672.453, 12, 214685
180, 646.609, 12, 207999
186, 772.516, 12, 216719
188, 650.125, 12, 217513
182, 673.656, 12, 162275
183, 748.203, 12, 211830
184, 796.703, 12, 245355
190, 804.344, 12, 363250
190, 782.328, 12, 367659
183, 827.5, 12, 436074
177, 760.797, 12, 527931
179, 770.219, 12, 567085
187, 701, 12, 568916
190, 669.266, 12, 566476
190, 765.281, 12, 574099
188, 688.594, 12, 687002
184, 819.078, 12, 735319
194, 719.797, 12, 863879
189, 724.656, 12, 840849
186, 766.953, 12, 865251
196, 737.844, 12, 938677
189, 669.859, 12, 938768
178, 681.906, 12, 988419
187, 868.781, 12, 56993
182, 693.562, 12, 111582
177, 884.594, 12, 136180
184, 747.141, 12, 191619
180, 777.281, 12, 203283
179, 722.469, 12, 231148
176, 771.891, 12, 242128
182, 746.797, 12, 383500
186, 750, 12, 392328
183, 840.047, 12, 410626
181, 913.141, 12, 495580
188, 780.219, 12, 698082
180, 654.344, 12, 146949
183, 693.328, 12, 254990
185, 779.734, 12, 350037
189, 660.094, 12, 444763
189, 775.172, 12, 204910
174, 590.516, 12, 610208
180, 702.906, 12, 630531
180, 709.328, 12, 769540
175, 874.609, 12, 813804
185, 757.578, 12, 879334
192, 666.766, 12, 905997
176, 784.797, 12, 936408
174, 982.094, 12, 918528
178, 722.344, 12, 100550
188, 696.094, 12, 200677
178, 716.938, 12, 268173
185, 669.75, 12, 313976
183, 744.609, 12, 360861
186, 725.359, 12, 452401
184, 758.172, 12, 507424
181, 605.375, 12, 599955
183, 670.188, 12, 678502
185, 729.344, 12, 682389
182, 769.766, 12, 780382
178, 901.969, 12, 763831
175, 782.906, 12, 806281
180, 868.781, 12, 900543
180, 911.625, 12, 13002
184, 680.109, 12, 128447
190, 703.531, 12, 170757
183, 770.656, 12, 228233
184, 644.766, 12, 254882
177, 696.172, 12, 282439
187, 700.031, 12, 375978
183, 775.547, 12, 433792
183, 594.359, 12, 518812
179, 798.25, 12, 512131
188, 656.891, 12, 625639
186, 844.844, 12, 659365
186, 769.469, 12, 826203
182, 840.328, 12, 905444
193, 765.828, 12, 967772
177, 798.266, 12, 24835
177, 674.156, 12, 97231
178, 661.531, 12, 259295
188, 686.719, 12, 369203
188, 636.094, 12, 463379
181, 776.812, 12, 571172
196, 726.391, 12, 683340
185, 789.125, 12, 761832
189, 767.797, 12, 874403
185, 735.562, 12, 978604
176, 875.703, 12, 24152
182, 842.984, 12, 181985
185, 742.453, 12, 313766
188, 792.516, 12, 382664
