milestone_percent,baseline_mean,algorithm_mean,p_value_baseline_new
10\%,50.07,46.43,0.03570800760644005
20\%,143.71,139.27,0.06616719416194296
30\%,231.9,229.0,0.3890223313576555
40\%,328.59,325.86,0.43149531895834214
50\%,429.21,428.08,0.7957292684208678
60\%,543.54,541.27,0.6259869055275382
70\%,665.52,664.7,0.8687658621423163
